"Name","Ticker Name","Basic Industry"
"PRICOLLTD  Pricol Ltd  ","PRICOLLTD","Auto Components & Equipments"
"GABRIEL  Gabriel India Ltd  ","GABRIEL","Auto Components & Equipments"
"SUNCLAY  Sundaram Clayton Ltd  ","SUNCLAY","Auto Components & Equipments"
"SUPRAJIT  Suprajit Engineering Ltd  ","SUPRAJIT","Auto Components & Equipments"
"SHARDAMOTR  Sharda Motor Industries Ltd  ","SHARDAMOTR","Auto Components & Equipments"
"ROLEXRINGS  Rolex Rings Ltd  ","ROLEXRINGS","Auto Components & Equipments"
"SUBROS  Subros Ltd  ","SUBROS","Auto Components & Equipments"
"JTEKTINDIA  JTEKT India Ltd  ","JTEKTINDIA","Auto Components & Equipments"
"LGBBROSLTD  LG Balakrishnan & Bros Ltd  ","LGBBROSLTD","Auto Components & Equipments"
"LUMAXTECH  Lumax AutoTechnologies Ltd  ","LUMAXTECH","Auto Components & Equipments"
"FIEMIND  Fiem Industries Ltd  ","FIEMIND","Auto Components & Equipments"
"JAMNAAUTO  Jamna Auto Industries Ltd  ","JAMNAAUTO","Auto Components & Equipments"
"PRECAM  Precision Camshafts Ltd  ","PRECAM","Auto Components & Equipments"
"SJS  SJS Enterprises Ltd  ","SJS","Auto Components & Equipments"
"CARRARO  Carraro India Ltd  ","CARRARO","Auto Components & Equipments"
"SSWL  Steel Strips Wheels Ltd  ","SSWL","Auto Components & Equipments"
"SANDHAR  Sandhar Technologies Ltd  ","SANDHAR","Auto Components & Equipments"
"AUTOAXLES  Automotive Axles Ltd  ","AUTOAXLES","Auto Components & Equipments"
"NRBBEARING  NRB Bearings Ltd  ","NRBBEARING","Auto Components & Equipments"
"RAJRATAN  Rajratan Global Wire Ltd  ","RAJRATAN","Auto Components & Equipments"
"TVSSRICHAK  TVS Srichakra Ltd  ","TVSSRICHAK","Tyres & Rubber Products"
"LUMAXIND  Lumax Industries Ltd  ","LUMAXIND","Auto Components & Equipments"
"GOODYEAR  Goodyear India Ltd  ","GOODYEAR","Tyres & Rubber Products"
"FMGOETZE  Federal-Mogul Goetze (India) Ltd  ","FMGOETZE","Auto Components & Equipments"
"IGARASHI  Igarashi Motors India Ltd  ","IGARASHI","Auto Components & Equipments"
"NDRAUTO  NDR Auto Components Ltd  ","NDRAUTO","Auto Components & Equipments"
"STERTOOLS  Sterling Tools Ltd  ","STERTOOLS","Auto Components & Equipments"
"DIVGIITTS  Divgi TorqTransfer Systems Ltd  ","DIVGIITTS","Auto Components & Equipments"
"TALBROAUTO  Talbros Automotive Components Ltd  ","TALBROAUTO","Auto Components & Equipments"
"GNA  GNA Axles Ltd  ","GNA","Auto Components & Equipments"
"WHEELS  Wheels India Ltd  ","WHEELS","Auto Components & Equipments"
"ALICON  Alicon Castalloy Ltd  ","ALICON","Auto Components & Equipments"
"HITECHGEAR  Hi-Tech Gears Ltd  ","HITECHGEAR","Auto Components & Equipments"
"INDNIPPON  India Nippon Electricals Ltd  ","INDNIPPON","Auto Components & Equipments"
"IMPAL  India Motor Parts & Accessories Ltd  ","IMPAL","Trading - Auto Components"
"ZFSTEERING  Z F Steering Gear (India) Ltd  ","ZFSTEERING","Auto Components & Equipments"
"RML  Rane (Madras) Ltd  ","RML","Auto Components & Equipments"
"KROSS  Kross Ltd  ","KROSS","Auto Components & Equipments"
"RICOAUTO  Rico Auto Industries Ltd  ","RICOAUTO","Auto Components & Equipments"
"ACGL  Automobile Corp Of Goa Ltd  ","ACGL","Auto Components & Equipments"
"SAINTGOBAIN  Saint-Gobain Sekurit India Ltd  ","SAINTGOBAIN","Auto Components & Equipments"
"ENKEIWHEL  Enkei Wheels (India) Ltd  ","ENKEIWHEL","Auto Components & Equipments"
"ISTLTD  IST Ltd  ","ISTLTD","Auto Components & Equipments"
"ASAL  Automotive Stampings and Assemblies Ltd  ","ASAL","Auto Components & Equipments"
"MUNJALAU  Munjal Auto Industries Ltd  ","MUNJALAU","Auto Components & Equipments"
"SAPL  Sar Auto Products Ltd  ","SAPL","Auto Components & Equipments"
"FRONTSP  Frontier Springs Ltd  ","FRONTSP","Auto Components & Equipments"
"JAYBARMARU  Jay Bharat Maruti Ltd  ","JAYBARMARU","Auto Components & Equipments"
"RACLGEAR  RACL Geartech Ltd  ","RACLGEAR","Auto Components & Equipments"
"HINDCOMPOS  Hindustan Composites Ltd  ","HINDCOMPOS","Auto Components & Equipments"
"TOLINS  Tolins Tyres Ltd  ","TOLINS","Tyres & Rubber Products"
"RBL  Rane Brake Linings Ltd  ","RBL","Auto Components & Equipments"
"MENONBE  Menon Bearings Ltd  ","MENONBE","Auto Components & Equipments"
"PAVNAIND  Pavna Industries Ltd  ","PAVNAIND","Auto Components & Equipments"
"BHARATSE  Bharat Seats Ltd  ","BHARATSE","Auto Components & Equipments"
"TRITONV  Triton Valves Ltd  ","TRITONV","Auto Components & Equipments"
"OBSCP  OBSC Perfection Ltd  ","OBSCP","Auto Components & Equipments"
"MUNJALSHOW  Munjal Showa Ltd  ","MUNJALSHOW","Auto Components & Equipments"
"SHIVAMAUTO  Shivam Autotech Ltd  ","SHIVAMAUTO","Auto Components & Equipments"
"VELJAN  Veljan Denison Ltd  ","VELJAN","Auto Components & Equipments"
"REMSONSIND  Remsons Industries Ltd  ","REMSONSIND","Auto Components & Equipments"
"PRADPME  Pradeep Metals Ltd  ","PRADPME","Auto Components & Equipments"
"URAVI  Uravi Defence and Technology Ltd  ","URAVI","Auto Components & Equipments"
"SINTERCOM  Sintercom India Ltd  ","SINTERCOM","Auto Components & Equipments"
"AUTOIND  Autoline Industries Ltd  ","AUTOIND","Auto Components & Equipments"
"INDAG  Indag Rubber Ltd  ","INDAG","Tyres & Rubber Products"
"RUBFILA  Rubfila International Ltd  ","RUBFILA","Tyres & Rubber Products"
"SUNDRMBRAK  Sundaram Brake Linings Ltd  ","SUNDRMBRAK","Auto Components & Equipments"
"UCAL  UCAL Ltd  ","UCAL","Auto Components & Equipments"
"PRITIKAUTO  Pritika Auto Industries Ltd  ","PRITIKAUTO","Auto Components & Equipments"
"LGBFORGE  LGB Forge Ltd  ","LGBFORGE","Auto Components & Equipments"
"MENNPIS  Menon Pistons Ltd  ","MENNPIS","Auto Components & Equipments"
"KINETICENG  Kinetic Engineering Ltd  ","KINETICENG","Auto Components & Equipments"
"TCL  Thaai Casting Limited  ","TCL","Auto Components & Equipments"
"TALBROSENG  Talbros Engineering Ltd  ","TALBROSENG","Auto Components & Equipments"
"PPAP  PPAP Automotive Ltd  ","PPAP","Auto Components & Equipments"
"MODIRUBBER  Modi Rubber Ltd  ","MODIRUBBER","Tyres & Rubber Products"
"ETML  Emerald Tyre Manufacturers Ltd  ","ETML","Tyres & Rubber Products"
"RANEENGINE  Rane Engine Valve Ltd  ","RANEENGINE","Auto Components & Equipments"
"JAYUSH  Jay Ushin Ltd  ","JAYUSH","Auto Components & Equipments"
"GOLDSTAR  Goldstar Power Ltd  ","GOLDSTAR","Auto Components & Equipments"
"SETCO  Setco Automotive Ltd  ","SETCO","Auto Components & Equipments"
"PRITIKA  Pritika Engineering Components Ltd  ","PRITIKA","Auto Components & Equipments"
"EMMFORCE  Emmforce Autotech Ltd  ","EMMFORCE","Auto Components & Equipments"
"OMAXAUTO  Omax Autos Ltd  ","OMAXAUTO","Auto Components & Equipments"
"IPRINGLTD  IP Rings Ltd  ","IPRINGLTD","Auto Components & Equipments"
"BIMETAL  Bimetal Bearings Ltd  ","BIMETAL","Auto Components & Equipments"
"DOLFIN  Dolfin Rubbers Ltd  ","DOLFIN","Tyres & Rubber Products"
"JMA  Jullundur Motor Agency (Delhi) Ltd  ","JMA","Trading - Auto Components"
"SHIGAN  Shigan Quantum Technologies Ltd  ","SHIGAN","Auto Components & Equipments"
"HIMTEK  HIM Teknoforge Ltd  ","HIMTEK","Auto Components & Equipments"
"DUNCANENG  Duncan Engineering Ltd  ","DUNCANENG","Auto Components & Equipments"
"HINDHARD  Hindustan Hardy Ltd  ","HINDHARD","Auto Components & Equipments"
"SAMKRG  Samkrg Pistons and Rings Ltd  ","SAMKRG","Auto Components & Equipments"
"SIMMOND  Simmonds Marshall Ltd  ","SIMMOND","Auto Components & Equipments"
"BHARATGEAR  Bharat Gears Ltd  ","BHARATGEAR","Auto Components & Equipments"
"AAIL  Akar Auto Industries Ltd  ","AAIL","Auto Components & Equipments"
"GGAUTO  G. G. Automotive Gears Ltd  ","GGAUTO","Auto Components & Equipments"
"MACPLASQ  Machino Plastics Ltd  ","MACPLASQ","Auto Components & Equipments"
"SNL  SNL Bearings Ltd  ","SNL","Auto Components & Equipments"
"SALAUTO  Sal Automotive Ltd  ","SALAUTO","Auto Components & Equipments"
"VISHALBL  Vishal Bearings Ltd  ","VISHALBL","Auto Components & Equipments"
"BGWTATO  Bhagwati Autocast Ltd  ","BGWTATO","Auto Components & Equipments"
"SWANAGRO  New Swan Multitech Ltd  ","SWANAGRO","Auto Components & Equipments"
"UNIAUTO  Universal Autofoundry Ltd  ","UNIAUTO","Auto Components & Equipments"
"KRANTI  Kranti Industries Ltd  ","KRANTI","Auto Components & Equipments"
"AUTOPINS  Auto Pins (India) Ltd  ","AUTOPINS","Auto Components & Equipments"
"FORGEAUTO  Forge Auto International Ltd  ","FORGEAUTO","Auto Components & Equipments"
"PRECISION  Precision Metaliks Ltd  ","PRECISION","Auto Components & Equipments"
"UWCSL  Ultra Wiring Connectivity System Ltd  ","UWCSL","Auto Components & Equipments"
"VIAZ  Viaz Tyres Ltd  ","VIAZ","Tyres & Rubber Products"
"PORWAL  Porwal Auto Components Ltd  ","PORWAL","Auto Components & Equipments"
"PREMIUM  Premium Plast Ltd  ","PREMIUM","Auto Components & Equipments"
"RASANDIK  Rasandik Engineering Industries India Ltd  ","RASANDIK","Auto Components & Equipments"
"JAGANLAM  Jagan Lamps Ltd  ","JAGANLAM","Auto Components & Equipments"
"GSAUTO  G.S. Auto International Ltd  ","GSAUTO","Auto Components & Equipments"
"ELFORGE  E L Forge Ltd  ","ELFORGE","Auto Components & Equipments"
"MMRUBBR-B  MM Rubber Company Ltd  ","MMRUBBR-B","Tyres & Rubber Products"
"INNOVATIVE  Innovative Tyres & Tubes Ltd  ","INNOVATIVE","Tyres & Rubber Products"
"ASLIND  ASL Industries Ltd  ","ASLIND","Auto Components & Equipments"
"JAINEX  Jainex Aamcol Ltd  ","JAINEX","Auto Components & Equipments"
"COCHMAL  Cochin Malabar Estates and Industries Ltd  ","COCHMAL","Tyres & Rubber Products"
"MANDEEP  Mandeep Auto Industries Ltd  ","MANDEEP","Auto Components & Equipments"
"TTIL  Tirupati Tyres Ltd  ","TTIL","Tyres & Rubber Products"
"VAMSHIRU  Vamshi Rubber Ltd  ","VAMSHIRU","Tyres & Rubber Products"
"SIBARAUT  Sibar Auto Parts Ltd  ","SIBARAUT","Auto Components & Equipments"
"EASTRED  Eastern Treads Ltd  ","EASTRED","Tyres & Rubber Products"
"METALFORGE  Metalyst Forgings Ltd  ","METALFORGE","Auto Components & Equipments"
"AMFORG  Amforge Industries Ltd  ","AMFORG","Auto Components & Equipments"
"VRWODAR  VR Woodart Ltd  ","VRWODAR","Tyres & Rubber Products"
"VOLKAI  Kairosoft AI Solutions Ltd  ","VOLKAI","Auto Components & Equipments"
"LAKPRE  Lakshmi Precision Screws Ltd  ","LAKPRE","Auto Components & Equipments"
"PAEL  Pae Ltd  ","PAEL","Auto Components & Equipments"
"SPECTRA  Spectra Industries Ltd  ","SPECTRA","Auto Components & Equipments"
"STARLIT  Starlit Power Systems Ltd  ","STARLIT","Auto Components & Equipments"
"INRADIA  India Radiators Ltd.  ","INRADIA","Auto Components & Equipments"
"NIRBHAYIND  Nirbhay Colours India Ltd  ","NIRBHAYIND","Auto Components & Equipments"
"PIDILITIND  Pidilite Industries Ltd  ","PIDILITIND","Specialty Chemicals"
"SOLARINDS  Solar Industries India Ltd  ","SOLARINDS","Explosives"
"SRF  SRF Ltd  ","SRF","Specialty Chemicals"
"LINDEINDIA  Linde India Ltd  ","LINDEINDIA","Industrial Gases"
"FLUOROCHEM  Gujarat Fluorochemicals Ltd  ","FLUOROCHEM","Specialty Chemicals"
"DEEPAKNTR  Deepak Nitrite Ltd  ","DEEPAKNTR","Specialty Chemicals"
"HSCL  Himadri Speciality Chemical Ltd  ","HSCL","Specialty Chemicals"
"TATACHEM  Tata Chemicals Ltd  ","TATACHEM","Commodity Chemicals"
"BASF  BASF India Ltd  ","BASF","Specialty Chemicals"
"ATUL  Atul Ltd  ","ATUL","Specialty Chemicals"
"NAVINFLUOR  Navin Fluorine International Ltd  ","NAVINFLUOR","Commodity Chemicals"
"VINATIORGA  Vinati Organics Ltd  ","VINATIORGA","Specialty Chemicals"
"AARTIIND  Aarti Industries Ltd  ","AARTIIND","Specialty Chemicals"
"CLEAN  Clean Science and Technology Ltd  ","CLEAN","Specialty Chemicals"
"DEEPAKFERT  Deepak Fertilisers and Petrochemicals Corp Ltd  ","DEEPAKFERT","Commodity Chemicals"
"PCBL  PCBL Chemical Ltd  ","PCBL","Carbon Black"
"FINEORG  Fine Organic Industries Ltd  ","FINEORG","Specialty Chemicals"
"SPLPETRO  Supreme Petrochem Ltd  ","SPLPETRO","Petrochemicals"
"JUBLINGREA  Jubilant Ingrevia Ltd  ","JUBLINGREA","Specialty Chemicals"
"AETHER  Aether Industries Ltd  ","AETHER","Specialty Chemicals"
"ELANTAS  ELANTAS Beck India Ltd  ","ELANTAS","Specialty Chemicals"
"ALKYLAMINE  Alkyl Amines Chemicals Ltd  ","ALKYLAMINE","Specialty Chemicals"
"GALAXYSURF  Galaxy Surfactants Ltd  ","GALAXYSURF","Specialty Chemicals"
"GNFC  Gujarat Narmada Valley Fertilizers & Chemicals Ltd  ","GNFC","Commodity Chemicals"
"SUDARSCHEM  Sudarshan Chemical Industries Ltd  ","SUDARSCHEM","Dyes And Pigments"
"EPIGRAL  Epigral Ltd  ","EPIGRAL","Specialty Chemicals"
"ACI  Archean Chemical Industries Ltd  ","ACI","Specialty Chemicals"
"CHEMPLASTS  Chemplast Sanmar Ltd  ","CHEMPLASTS","Commodity Chemicals"
"ANURAS  Anupam Rasayan India Ltd  ","ANURAS","Specialty Chemicals"
"PRIVISCL  Privi Speciality Chemicals Ltd  ","PRIVISCL","Specialty Chemicals"
"GHCL  GHCL Ltd  ","GHCL","Commodity Chemicals"
"REFEX  Refex Industries Ltd  ","REFEX","Industrial Gases"
"LXCHEM  Laxmi Organic Industries Ltd  ","LXCHEM","Specialty Chemicals"
"BALAMINES  Balaji Amines Ltd  ","BALAMINES","Specialty Chemicals"
"GUJALKALI  Gujarat Alkalies And Chemicals Ltd  ","GUJALKALI","Commodity Chemicals"
"NEOGEN  Neogen Chemicals Ltd  ","NEOGEN","Specialty Chemicals"
"RAIN  Rain Industries Ltd  ","RAIN","Petrochemicals"
"STYRENIX  Styrenix Performance Materials Ltd  ","STYRENIX","Specialty Chemicals"
"GRAUWEIL  Grauer And Weil (India) Ltd  ","GRAUWEIL","Commodity Chemicals"
"ROSSARI  Rossari Biotech Ltd  ","ROSSARI","Specialty Chemicals"
"INDIAGLYCO  India Glycols Ltd  ","INDIAGLYCO","Commodity Chemicals"
"NOCIL  Nocil Ltd  ","NOCIL","Specialty Chemicals"
"FISCHER  Fischer Medical Ventures Ltd  ","FISCHER","Commodity Chemicals"
"FCL  Fineotex Chemical Ltd  ","FCL","Specialty Chemicals"
"KIRIINDUS  Kiri Industries Ltd  ","KIRIINDUS","Dyes And Pigments"
"BEPL  Bhansali Engineering Polymers Ltd  ","BEPL","Specialty Chemicals"
"TIRUMALCHM  Thirumalai Chemicals Ltd  ","TIRUMALCHM","Commodity Chemicals"
"TANFACIND  Tanfac Industries Ltd  ","TANFACIND","Commodity Chemicals"
"DDEVPLASTIK  Ddev Plastiks Industries Ltd  ","DDEVPLASTIK","Specialty Chemicals"
"VISHNU  Vishnu Chemicals Ltd  ","VISHNU","Specialty Chemicals"
"FOSECOIND  Foseco India Ltd  ","FOSECOIND","Specialty Chemicals"
"CAMLINFINE  Camlin Fine Sciences Ltd  ","CAMLINFINE","Specialty Chemicals"
"PREMEXPLN  Premier Explosives Ltd  ","PREMEXPLN","Explosives"
"DCW  DCW Ltd  ","DCW","Petrochemicals"
"VIDHIING  Vidhi Specialty Food Ingredients Ltd  ","VIDHIING","Specialty Chemicals"
"TINNARUBR  Tinna Rubber and Infrastructure Ltd  ","TINNARUBR","Specialty Chemicals"
"YASHO  Yasho Industries Ltd  ","YASHO","Specialty Chemicals"
"PLATIND  Platinum Industries Ltd  ","PLATIND","Specialty Chemicals"
"TATVA  Tatva Chintan Pharma Chem Ltd  ","TATVA","Specialty Chemicals"
"GOCLCORP  Gocl Corporation Ltd  ","GOCLCORP","Explosives"
"AGARIND  Agarwal Industrial Corporation Ltd  ","AGARIND","Petrochemicals"
"EXCELINDUS  Excel Industries Ltd  ","EXCELINDUS","Specialty Chemicals"
"IGPL  I G Petrochemicals Ltd  ","IGPL","Commodity Chemicals"
"JYOTIRES  Jyoti Resins and Adhesives Ltd  ","JYOTIRES","Specialty Chemicals"
"ULTRAMAR  ULTRAMARINE & PIGMENTS Ltd  ","ULTRAMAR","Dyes And Pigments"
"AMNPLST  Amines and Plasticizers Ltd  ","AMNPLST","Commodity Chemicals"
"PAUSHAKLTD  Paushak Ltd  ","PAUSHAKLTD","Specialty Chemicals"
"JGCHEM  JG Chemicals Ltd  ","JGCHEM","Specialty Chemicals"
"CHEMFAB  Chemfab Alkalis Ltd  ","CHEMFAB","Commodity Chemicals"
"FAIRCHEMOR  Fairchem Organics Ltd  ","FAIRCHEMOR","Specialty Chemicals"
"OAL  Oriental Aromatics Ltd  ","OAL","Specialty Chemicals"
"SADHNANIQ  Sadhana Nitro Chem Ltd  ","SADHNANIQ","Commodity Chemicals"
"HEUBACHIND  Heubach Colorants India Ltd  ","HEUBACHIND","Dyes And Pigments"
"ANDHRSUGAR  Andhra Sugars Ltd  ","ANDHRSUGAR","Commodity Chemicals"
"SRHHYPOLTD  Sree Rayalaseema Hi-Strength Hypo Ltd  ","SRHHYPOLTD","Commodity Chemicals"
"TUTIALKA  Tuticorin Alkali Chemicals and Fertilizers Ltd  ","TUTIALKA","Commodity Chemicals"
"INDOAMIN  Indo Amines Ltd  ","INDOAMIN","Specialty Chemicals"
"TGVSL  TGV SRAAC Ltd  ","TGVSL","Commodity Chemicals"
"SUDARSHAN  Sudarshan Pharma Industries Ltd  ","SUDARSHAN","Specialty Chemicals"
"KOTHARIPET  Kothari Petrochemicals Ltd  ","KOTHARIPET","Petrochemicals"
"UNIENTER  Uniphos Enterprises Ltd  ","UNIENTER","Trading - Chemicals"
"MANALIPETC  Manali Petrochemicals Ltd  ","MANALIPETC","Petrochemicals"
"GULPOLY  Gulshan Polyols Ltd  ","GULPOLY","Commodity Chemicals"
"SHREEPUSHK  Shree Pushkar Chemicals & Fertilisers Ltd  ","SHREEPUSHK","Dyes And Pigments"
"TRANSPEK  Transpek Industry Ltd  ","TRANSPEK","Commodity Chemicals"
"PRIMO  Primo Chemicals Ltd  ","PRIMO","Commodity Chemicals"
"VALIANTORG  Valiant Organics Ltd  ","VALIANTORG","Specialty Chemicals"
"DMCC  DMCC Speciality Chemicals Ltd  ","DMCC","Specialty Chemicals"
"BODALCHEM  Bodal Chemicals Ltd  ","BODALCHEM","Dyes And Pigments"
"CHEMCON  Chemcon Speciality Chemicals Ltd  ","CHEMCON","Specialty Chemicals"
"BHAGERIA  Bhageria Industries Ltd  ","BHAGERIA","Dyes And Pigments"
"JAYAGROGN  Jayant Agro-Organics Ltd  ","JAYAGROGN","Specialty Chemicals"
"CHEMBOND  Chembond Chemicals Ltd  ","CHEMBOND","Specialty Chemicals"
"544272-BOM  Shiv Texchem Ltd  ","544272-BOM","Trading - Chemicals"
"TNPETRO  Tamilnadu Petroproducts Ltd  ","TNPETRO","Petrochemicals"
"NITTAGELA  Nitta Gelatin India Ltd  ","NITTAGELA","Specialty Chemicals"
"AMAL  Amal Ltd  ","AMAL","Specialty Chemicals"
"HPAL  Hp Adhesives Ltd  ","HPAL","Specialty Chemicals"
"KRONOX  Kronox Lab Sciences Ltd  ","KRONOX","Specialty Chemicals"
"SUNSHIEL  Sunshield Chemicals Ltd  ","SUNSHIEL","Specialty Chemicals"
"PLASTIBLEN  Plastiblends India Ltd  ","PLASTIBLEN","Specialty Chemicals"
"NAPEROL  Naperol Investments Ltd  ","NAPEROL","Commodity Chemicals"
"BLACKROSE  Black Rose Industries Ltd  ","BLACKROSE","Specialty Chemicals"
"VINYLINDIA  Vinyl Chemicals (India) Ltd  ","VINYLINDIA","Trading - Chemicals"
"TITANBIO  Titan Biotech Ltd  ","TITANBIO","Specialty Chemicals"
"ANDHRAPET  Andhra Petrochemicals Ltd  ","ANDHRAPET","Commodity Chemicals"
"POEL  POCL Enterprises Ltd  ","POEL","Commodity Chemicals"
"DICIND  DIC India Ltd  ","DICIND","Printing Inks"
"VIKASECO  Vikas Ecotech Ltd  ","VIKASECO","Specialty Chemicals"
"VIKRAMTH  Vikram Thermo (India) Ltd  ","VIKRAMTH","Commodity Chemicals"
"NIKHILAD  Nikhil Adhesives Ltd  ","NIKHILAD","Specialty Chemicals"
"INDOBORAX  Indo Borax and Chemicals Ltd  ","INDOBORAX","Commodity Chemicals"
"AARTISURF  Aarti Surfactants Ltd  ","AARTISURF","Specialty Chemicals"
"VALIANTLAB  Valiant Laboratories Ltd  ","VALIANTLAB","Commodity Chemicals"
"A1L  A-1 Ltd  ","A1L","Trading - Chemicals"
"KANORICHEM  Kanoria Chemicals and Industries Ltd  ","KANORICHEM","Commodity Chemicals"
"DIAMINESQ  Diamines and Chemicals Ltd  ","DIAMINESQ","Specialty Chemicals"
"OCCLLTD  OCCL Ltd  ","OCCLLTD","Commodity Chemicals"
"LORDSCHLO  Lords Chloro Alkali Ltd  ","LORDSCHLO","Commodity Chemicals"
"NPL  National Peroxide Ltd  ","NPL","Commodity Chemicals"
"DYNPRO  Dynemic Products Ltd  ","DYNPRO","Specialty Chemicals"
"SRD  Shankar Lal Rampal Dye-Chem Ltd  ","SRD","Trading - Chemicals"
"MULTIBASE  Multibase India Ltd  ","MULTIBASE","Specialty Chemicals"
"ASAHISONG  Asahi Songwon Colors Ltd  ","ASAHISONG","Dyes And Pigments"
"PASUPTAC  Pasupati Acrylon Ltd  ","PASUPTAC","Petrochemicals"
"INDOKEM  Indokem Ltd  ","INDOKEM","Specialty Chemicals"
"ALUFLUOR  Alufluoride Ltd  ","ALUFLUOR","Commodity Chemicals"
"PODDARMENT  Poddar Pigments Ltd  ","PODDARMENT","Dyes And Pigments"
"MANORG  Mangalam Organics Ltd  ","MANORG","Commodity Chemicals"
"JAYSYNTH  Jaysynth Orgochem Ltd  ","JAYSYNTH","Specialty Chemicals"
"KELENRG  Keltech Energies Ltd  ","KELENRG","Explosives"
"VIPULORG  Vipul Organics Ltd  ","VIPULORG","Specialty Chemicals"
"BCCL  Bhatia Colour Chem Ltd  ","BCCL","Specialty Chemicals"
"INDGELA  India Gelatine & Chemicals Ltd  ","INDGELA","Specialty Chemicals"
